Country,Year,Population,LifeExp,GDP,Code,Region,Area,Coastline,Government
Afghanistan,1900,5021241,27.18633333,793,AF,Asia,652230,0,islamic republic
Afghanistan,1910,5351413,27.08386667,820,AF,Asia,652230,0,islamic republic
Afghanistan,1920,5813814,26.9814,857,AF,Asia,652230,0,islamic republic
Afghanistan,1930,6394908,27.90633333,913,AF,Asia,652230,0,islamic republic
Afghanistan,1940,7034081,28.83126667,973,AF,Asia,652230,0,islamic republic
Afghanistan,1950,7752118,29.7562,1035,AF,Asia,652230,0,islamic republic
Afghanistan,1951,7839426,30.11694,1050,AF,Asia,652230,0,islamic republic
Afghanistan,1952,7934798,30.73568,1069,AF,Asia,652230,0,islamic republic
Afghanistan,1953,8038312,31.35442,1116,AF,Asia,652230,0,islamic republic
Afghanistan,1954,8150037,31.97316,1122,AF,Asia,652230,0,islamic republic
Afghanistan,1955,8270024,32.5909,1125,AF,Asia,652230,0,islamic republic
Afghanistan,1956,8398309,33.20964,1155,AF,Asia,652230,0,islamic republic
Afghanistan,1957,8534913,33.82838,1134,AF,Asia,652230,0,islamic republic
Afghanistan,1958,8679848,34.44712,1176,AF,Asia,652230,0,islamic republic
Afghanistan,1959,8833127,35.06586,1187,AF,Asia,652230,0,islamic republic
Afghanistan,1960,8994793,35.6846,1206,AF,Asia,652230,0,islamic republic
Afghanistan,1961,9164945,36.30334,1192,AF,Asia,652230,0,islamic republic
Afghanistan,1962,9343772,36.92308,1188,AF,Asia,652230,0,islamic republic
Afghanistan,1963,9531555,37.54182,1185,AF,Asia,652230,0,islamic republic
Afghanistan,1964,9728645,38.15956,1182,AF,Asia,652230,0,islamic republic
Afghanistan,1965,9935358,38.7753,1182,AF,Asia,652230,0,islamic republic
Afghanistan,1966,10148841,39.38804,1168,AF,Asia,652230,0,islamic republic
Afghanistan,1967,10368600,39.99878,1173,AF,Asia,652230,0,islamic republic
Afghanistan,1968,10599790,40.60552,1187,AF,Asia,652230,0,islamic republic
Afghanistan,1969,10849510,41.20626,1178,AF,Asia,652230,0,islamic republic
Afghanistan,1970,11121097,41.8,1174,AF,Asia,652230,0,islamic republic
Afghanistan,1971,11412821,42.2,1092,AF,Asia,652230,0,islamic republic
Afghanistan,1972,11716896,42.6,1046,AF,Asia,652230,0,islamic republic
Afghanistan,1973,12022514,43,1137,AF,Asia,652230,0,islamic republic
Afghanistan,1974,12315553,43.5,1170,AF,Asia,652230,0,islamic republic
Afghanistan,1975,12582954,44,1201,AF,Asia,652230,0,islamic republic
Afghanistan,1976,12831361,44.5,1231,AF,Asia,652230,0,islamic republic
Afghanistan,1977,13056499,45,1119,AF,Asia,652230,0,islamic republic
Afghanistan,1978,13222547,44.3,1179,AF,Asia,652230,0,islamic republic
Afghanistan,1979,13283279,43.5,1155,AF,Asia,652230,0,islamic republic
Afghanistan,1980,13211412,43.5,1158,AF,Asia,652230,0,islamic republic
